date,petrolimex_bog_ty_dong
08/05/2018,2620.0
23/05/2018,2550.0
07/06/2018,2370.0
22/06/2018,2270.0
07/07/2018,2260.0
23/07/2018,2256.0
07/08/2018,2240.0
22/08/2018,2300.0
06/09/2018,2100.0
21/09/2018,1930.0
06/10/2018,1700.0
22/10/2018,1420.0
06/11/2018,1230.0
21/11/2018,1262.0
06/12/2018,1460.0
21/12/2018,1680.0
01/01/2019,1910.0
16/01/2019,2133.0
31/01/2019,1940.0
15/02/2019,1720.0
02/03/2019,1210.0
18/03/2019,655.0
02/04/2019,9.6
17/04/2019,-240.0
02/05/2019,-355.0
17/05/2019,-381.0
01/06/2019,-316.0
17/06/2019,-246.0
02/07/2019,50.0
17/07/2019,317.0
01/08/2019,470.0
16/08/2019,629.0
31/08/2019,820.0
16/09/2019,970.0
01/10/2019,1121.0
16/10/2019,1090.0
31/10/2019,1185.0
15/11/2019,1259.0
30/11/2019,1280.0
16/12/2019,1340.0
31/12/2019,1430.0
15/01/2020,1462.0
30/01/2020,1500.0
14/02/2020,1630.0
29/02/2020,1810.0
15/03/2020,2000.0
29/03/2020,2245.0
13/04/2020,2545.0
28/04/2020,2900.0
13/05/2020,3650.0
28/05/2020,4100.0
12/06/2020,4310.0
27/06/2020,4410.0
13/07/2020,4400.0
28/07/2020,4350.0
12/08/2020,4375.0
27/08/2020,4370.0
11/09/2020,4290.0
26/09/2020,4210.0
12/10/2020,4130.0
27/10/2020,4050.0
11/11/2020,4000.0
26/11/2020,3973.0
11/12/2020,3850.0
26/12/2020,3722.0
11/01/2021,3550.0
26/01/2021,3420.0
10/02/2021,3220.0
25/02/2021,2900.0
12/03/2021,2400.0
27/03/2021,2100.0
12/04/2021,1730.0
27/04/2021,1400.0
12/05/2021,1000.0
27/05/2021,710.0
11/06/2021,370.0
26/06/2021,115.0
12/07/2021,-54.0
27/07/2021,-90.0
11/08/2021,-145.0
26/08/2021,-216.0
10/09/2021,-197.0
25/09/2021,-193.5
11/10/2021,-190.0
26/10/2021,-262.0
10/11/2021,-355.0
25/11/2021,-440.0
10/12/2021,-400.0
25/12/2021,-269.0
11/01/2022,-95.0
21/01/2022,-18.0
11/02/2022,-55.0
21/02/2022,-110.0
01/03/2022,-158.0
11/03/2022,-250.0
21/03/2022,-470.0
01/04/2022,-434.0
12/04/2022,-382.0
21/04/2022,-222.0
04/05/2022,-108.0
11/05/2022,-53.0
23/05/2022,-15.0
01/06/2022,-5.0
13/06/2022,-49.0
21/06/2022,-98.0
01/07/2022,-148.5
11/07/2022,-140.0
21/07/2022,53.3
01/08/2022,305.0
11/08/2022,473.0
22/08/2022,644.0
05/09/2022,802.0
12/09/2022,840.0
21/09/2022,917.0
03/10/2022,1040.0
11/10/2022,1150.0
21/10/2022,1197.0
01/11/2022,1265.0
11/11/2022,1308.0
21/11/2022,1344.0
01/12/2022,1414.0
12/12/2022,1587.0
21/12/2022,1766.0
01/01/2023,1989.0
03/01/2023,2021.0
11/01/2023,2070.0
30/01/2023,2167.0
13/02/2023,2051.0
21/02/2023,2118.0
01/03/2023,2164.0
13/03/2023,2290.0
21/03/2023,2367.0
