date,pvoil_bog_ty_dong
01/05/2018,250.535857232
01/06/2018,194.058207992
01/07/2018,203.643301652
01/08/2018,173.280016453
01/09/2018,63.533855713
01/10/2018,-62.416530114
01/11/2018,64.359556266
01/12/2018,37.576277356
16/01/2019,87.4
31/01/2019,40.8
15/02/2019,-49.4
02/03/2019,-203.6
18/03/2019,-304.4
02/04/2019,-304.4
17/04/2019,-622.9
02/05/2019,-668.6
17/05/2019,-660.1
01/06/2019,-645.1
17/06/2019,-614.16
02/07/2019,-525.09
17/07/2019,-464.77
01/08/2019,-425.27
16/08/2019,-383.88
31/08/2019,-339.57
16/09/2019,-289.35
01/10/2019,-255.77
16/10/2019,-257.64
31/10/2019,-239.89
15/11/2019,-226.02
30/11/2019,-223.52
16/12/2019,-210.7
31/12/2019,-198.58
15/01/2020,-190.56
30/01/2020,-187.77
14/02/2020,-127.09
29/02/2020,-110.72
15/03/2020,-28.74
29/03/2020,34.68
13/04/2020,135.28
28/04/2020,253.84
13/05/2020,356.53
28/05/2020,462.59
12/06/2020,538.76
27/06/2020,571.99
13/07/2020,593.61
28/07/2020,589.55
12/08/2020,583.03
27/08/2020,584.61
11/09/2020,569.37
26/09/2020,572.73
12/10/2020,564.42
27/10/2020,538.26
11/11/2020,540.1
26/11/2020,537.01
11/12/2020,514.53
26/12/2020,479.52
11/01/2021,401.01
26/01/2021,389.4
10/02/2021,305.68
25/02/2021,273.15
12/03/2021,13.87
27/03/2021,-64.61
12/04/2021,-137.77
27/04/2021,-178.14
12/05/2021,-278.65
27/05/2021,-396.53
11/06/2021,-543.35
26/06/2021,-607.55
12/07/2021,-657.24
27/07/2021,-673.43
11/08/2021,-672.25
26/08/2021,-703.73
10/09/2021,-710.91
25/09/2021,-709.41
11/10/2021,-697.63
26/10/2021,-728.17
10/11/2021,-806.6
25/11/2021,-826.95
10/12/2021,-816.29
25/12/2021,-803.78
11/01/2022,-765.81
21/01/2022,-745.93
11/02/2022,-784.92
21/02/2022,-815.33
01/03/2022,-827.19
11/03/2022,-840.08
21/03/2022,-1098.89
31/03/2022,-1095.52
12/04/2022,-1068.49
21/04/2022,-1065.43
04/05/2022,-1037.89
11/05/2022,-1030.55
23/05/2022,-1012.5
01/06/2022,-1013.37
13/06/2022,-1032.31
21/06/2022,-1032.39
01/07/2022,-1099.74
11/07/2022,-1098.07
21/07/2022,-1000.77
01/08/2022,-980.749
11/08/2022,-912.894
22/08/2022,-862.378
05/09/2022,-821.023
12/09/2022,-822.885
21/09/2022,-795.16
03/10/2022,-767.673
11/10/2022,-750.05
21/10/2022,-747.181
01/11/2022,-736.319
11/11/2022,-723.702
21/11/2022,-7113.4
01/12/2022,-679.48
11/12/2022,-626.37
21/12/2022,-557.86
03/01/2023,-511.27
11/01/2023,-485.96
30/01/2023,-451.28
13/02/2023,-508.26
21/02/2023,-482.0
01/03/2023,-451.79
13/03/2023,-411.46
21/03/2023,-375.24
03/04/2023,-340.71
11/04/2023,-305.64
21/04/2023,-266.48
04/05/2023,-218.75
11/05/2023,-188.58
22/05/2023,-139.42
01/06/2023,-96.72
12/06/2023,-62.7
21/06/2023,-38.27
03/07/2023,-22.08
11/07/2023,-22.08
21/07/2023,-22.08
01/08/2023,-22.08
11/08/2023,-61.59
21/08/2023,-61.59
05/09/2023,-61.59
11/09/2023,-61.59
21/09/2023,-62.68
02/10/2023,-110.75
11/10/2023,-144.32
23/10/2023,-144.32
01/11/2023,-144.32
13/11/2023,-144.32
23/11/2023,-144.32
30/11/2023,-144.32
07/12/2023,-144.32
14/12/2023,-144.32
21/12/2023,-144.32
28/12/2023,-144.32
11/01/2024,-144.32
18/01/2024,-144.32
25/01/2024,-144.32
01/02/2024,-144.32
08/02/2024,-144.32
22/02/2024,-144.32
29/02/2024,-144.32
07/03/2024,-144.32
15/03/2024,-144.32
22/03/2024,-144.32
28/03/2024,-144.32
04/04/2024,-144.32
11/04/2024,-144.32
17/04/2024,-144.32
25/04/2024,-144.32
02/05/2024,-144.32
09/05/2024,-144.32
16/05/2024,-144.32
23/05/2024,-144.32
30/05/2024,-138.42
06/06/2024,-138.42
13/06/2024,-138.42
20/06/2024,-138.42
27/06/2024,-138.42
04/07/2024,-138.42
11/07/2024,-138.42
18/07/2024,-138.42
01/08/2024,-138.42
08/08/2024,-138.42
15/08/2024,-138.42
05/09/2024,-138.42
12/09/2024,-138.42
19/09/2024,-138.42
03/10/2024,-138.42
10/10/2024,-138.42
17/10/2024,-138.42
24/10/2024,-138.42
31/10/2024,-138.42
21/11/2024,-138.42
28/11/2024,-138.42
05/12/2024,-138.42
12/12/2024,-138.42
19/12/2024,-138.42
26/12/2024,-138.42
02/01/2025,-138.42
09/01/2025,-138.42
16/01/2025,-138.42
23/01/2025,-138.42
01/02/2025,-138.42
06/02/2025,-138.42
13/02/2025,-138.42
20/02/2025,-138.42
27/02/2025,-138.42
06/03/2025,-138.42
13/03/2025,-138.42
20/03/2025,-138.42
27/03/2025,-138.42
03/04/2025,-138.42
10/04/2025,-138.42
17/04/2025,-138.42
24/04/2025,-138.42
05/05/2025,-138.42
08/05/2025,-138.42
15/05/2025,-138.42
22/05/2025,-138.42
29/05/2025,-138.42
05/06/2025,-138.42
12/06/2025,-138.42
19/06/2025,-138.42
26/06/2025,-138.42
03/07/2025,-138.42
10/07/2025,-138.42
17/07/2025,-138.42
24/07/2025,-138.42
31/07/2025,-138.42
07/08/2025,-138.42
14/08/2025,-138.42
21/08/2025,-138.42
28/08/2025,-138.42
04/09/2025,-138.42
11/09/2025,-138.42
18/09/2025,-138.42
25/09/2025,-138.42
02/10/2025,-138.42
09/10/2025,-138.42
16/10/2025,-138.42
23/10/2025,-138.42
30/10/2025,-138.42
06/11/2025,-138.42
13/11/2025,-138.42
20/11/2025,-138.42
27/11/2025,-138.42
04/12/2025,-138.42
11/12/2025,-138.42
18/12/2025,-138.42
25/12/2025,-138.42
31/12/2025,-138.42
08/01/2026,-138.42
15/01/2026,-138.42
22/01/2026,-138.42
29/01/2026,-138.42
05/02/2026,-138.42
12/02/2026,-138.42
20/02/2026,-138.42
25/02/2026,-138.42
05/03/2026,-138.42
10/03/2026,-138.42
11/03/2026,-216.96
12/03/2026,-342.17
13/03/2026,-402.94
14/03/2026,-482.54
15/03/2026,-557.34
16/03/2026,-652.05
17/03/2026,-702.97
18/03/2026,-793.52
19/03/2026,-872.58
20/03/2026,-1027.31
21/03/2026,-1061.64
22/03/2026,-1122.39
23/03/2026,-1224.77
24/03/2026,-1325.88
25/03/2026,-1329.27
26/03/2026,-1437.74
02/04/2026,-1437.74
03/04/2026,-1437.74
08/04/2026,-1765.82
09/04/2026,-1765.82
16/04/2026,-1692.18
21/04/2026,-1670.97
23/04/2026,-1651.14
29/04/2026,-1611.45
07/05/2026,-1611.45
14/05/2026,-1611.45
21/05/2026,-1611.45
28/05/2026,-1611.45
04/06/2026,-1556.33
