missing_field,fuel_code_candidate,source_likely_has_field,n_rows
base_price_raw,DIESEL,True,4
base_price_raw,E5RON92,True,5
base_price_raw,MAZUT,True,4
base_price_raw,RON95,True,4
base_price_raw,RON95_III,True,7
bog_contribution_raw,DIESEL,True,43
bog_contribution_raw,E5,True,14
bog_contribution_raw,E5RON92,True,19
bog_contribution_raw,MAZUT,True,36
bog_contribution_raw,RON92,True,15
bog_contribution_raw,RON95,True,2
bog_contribution_raw,RON95_III,False,3
bog_contribution_raw,RON95_III,True,250
bog_spending_raw,DIESEL,True,33
bog_spending_raw,E5,True,3
bog_spending_raw,E5RON92,True,13
bog_spending_raw,MAZUT,True,33
bog_spending_raw,RON92,True,7
bog_spending_raw,RON95,True,3
bog_spending_raw,RON95_III,False,1
bog_spending_raw,RON95_III,True,246
event_date_raw,DIESEL,True,16
event_date_raw,E5,True,4
event_date_raw,E5RON92,True,12
event_date_raw,MAZUT,True,16
event_date_raw,RON92,True,4
event_date_raw,RON95_III,True,12
retail_price_raw,DIESEL,True,10
retail_price_raw,E5,True,1
retail_price_raw,MAZUT,True,8
retail_price_raw,RON95,True,4
retail_price_raw,RON95_III,True,3
