title,report_date,detail_url,bog_petrolimex
Ước tồn Quỹ BOG tại Petrolimex ngày 28.5.2026,28.5.2026,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-28-5-2026.html,1.074 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 21.5.2026,21.5.2026,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-21-5-2026.html,1.074 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 14.5.2026,14.5.2026,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-14-5-2026.html,1.074 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 07.5.2026,07.5.2026,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-07-5-2026.html,1.074 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 29.4.2026,29.4.2026,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-29-4-2026.html,1.074 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 23.4.2026,23.4.2026,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-23-4-2026.html,1.074 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 21.4.2026,21.4.2026,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-21-4-2026.html,1.074 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 16.4.2026,16.4.2026,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-16-4-2026.html,1.074 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 09.4.2026,09.4.2026,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-09-4-2026.html,1.074 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 08.4.2026,08.4.2026,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-08-4-2026.html,1.069 tỷ đồng
