title,report_date,detail_url,bog_pvoil
Báo cáo quỹ bình ổn giá xăng dầu ngày 04/6/2026,04/6/2026,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-0462026,"-1.556,33 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 28/5/2026,28/5/2026,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-2852026,"-1.611,45 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 21/5/2026,21/5/2026,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-2152026,"-1.611,45 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 14/5/2026,14/5/2026,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1452026,"-1.611,45 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 07/05/2026,07/05/2026,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-07052026,"-1.611,45 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 29/04/2026,29/04/2026,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-29042026,"-1.611,45 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 23/04/2026,23/04/2026,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-23042026,"-1.651,14 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 21/04/2026,21/04/2026,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-21042026,"-1.670,97 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 16/04/2026,16/04/2026,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-16042026,"-1.692,18 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 09/04/2026,09/04/2026,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-09042026,"-1.765,82 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 08/04/2026,08/04/2026,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-08042026,"-1.765,82 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 03/04/2026,03/04/2026,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-03042026,"-1.437,74 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 02/04/2026,02/04/2026,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-02042026,"-1.437,74 tỷ đồng"
