crawl_date,detail_url,title,report_date,post_date,is_parsed
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-0462026,Báo cáo quỹ bình ổn giá xăng dầu ngày 04/6/2026,04/6/2026,04.06.2026,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-2852026,Báo cáo quỹ bình ổn giá xăng dầu ngày 28/5/2026,28/5/2026,28.05.2026,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-2152026,Báo cáo quỹ bình ổn giá xăng dầu ngày 21/5/2026,21/5/2026,21.05.2026,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1452026,Báo cáo quỹ bình ổn giá xăng dầu ngày 14/5/2026,14/5/2026,14.05.2026,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-07052026,Báo cáo quỹ bình ổn giá xăng dầu ngày 07/05/2026,07/05/2026,07.05.2026,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-29042026,Báo cáo quỹ bình ổn giá xăng dầu ngày 29/04/2026,29/04/2026,29.04.2026,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-23042026,Báo cáo quỹ bình ổn giá xăng dầu ngày 23/04/2026,23/04/2026,23.04.2026,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-21042026,Báo cáo quỹ bình ổn giá xăng dầu ngày 21/04/2026,21/04/2026,21.04.2026,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-16042026,Báo cáo quỹ bình ổn giá xăng dầu ngày 16/04/2026,16/04/2026,16.04.2026,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-09042026,Báo cáo quỹ bình ổn giá xăng dầu ngày 09/04/2026,09/04/2026,09.04.2026,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-08042026,Báo cáo quỹ bình ổn giá xăng dầu ngày 08/04/2026,08/04/2026,08.04.2026,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-03042026,Báo cáo quỹ bình ổn giá xăng dầu ngày 03/04/2026,03/04/2026,03.04.2026,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-02042026,Báo cáo quỹ bình ổn giá xăng dầu ngày 02/04/2026,02/04/2026,02.04.2026,1
